# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;کھل کے ہنستا چہرہ;چہرہ|کھل کے ہنستا چہرہ|کھلا|منہ|ہنسی
😃;بڑی آنکھوں والا کھلے منہ والا مسکراتا چہرہ;بڑی آنکھوں والا کھلے منہ والا مسکراتا چہرہ|چہرہ|مسکراہٹ|منہ
😄;کھلے منہ اور مسکراتی آنکھوں والا مسکراتا چہرہ;آنکھ|چہرہ|کھلے منہ اور مسکراتی آنکھوں والا مسکراتا چہرہ|مسکراہٹ|منہ
😁;مسکراتی آنکھیں لیے ہنستا چہرہ;آنکھ|چہرہ|کھلا|مسکراتی آنکھیں لیے ہنستا چہرہ|مسکراہٹ|منہ|ہنسنا
😆;کھلے منہ اور سختی سے بند آنکھوں والا مسکراتا چہرہ;چہرہ|کھلے منہ اور سختی سے بند آنکھوں والا مسکراتا چہرہ|مسکراہٹ|مطمئن|منہ|ہنسی
😅;کھلے منہ اور ٹھنڈے پسینے والا مسکراتا چہرہ;پسینہ|ٹھنڈ|چہرہ|کھلے منہ اور ٹھنڈے پسینے والا مسکراتا چہرہ|مسکراہٹ
🤣;ہنستے ہنستے لوٹ پوٹ ہونا;چہرہ|لوٹ پوٹ|ہنستے ہنستے لوٹ پوٹ ہونا|ہنسی
😂;خوشی کے آنسوؤں والا چہرہ;آنسو|چہرہ|خوشی|خوشی کے آنسوؤں والا چہرہ|ہنسی
🙂;مدھم مسکراہٹ والا چہرہ;چہرہ|مدھم مسکراہٹ والا چہرہ|مسکراہٹ
🙃;الٹا چہرہ;الٹآ|الٹا چہرہ|چہرہ
🫠;پگھلتا چہرہ;پگھلتا چہرہ|پگھلنا|تحلیل ہونا|غائب ہونا|مائع
😉;آنکھ مارتا چہرہ;آنکھ جھپکنا|آنکھ مارتا چہرہ|چہرہ
😊;مسکراتی آنکھوں والا مسکراتا چہرہ;آنکھ|چہرہ|مسکراتی آنکھوں والا مسکراتا چہرہ|مسکراہٹ
😇;ہالہ لیے مسکراتا چہرہ;افسانوی|چہرہ|فرشتہ|مسکراہٹ|معصوم|ہالہ لیے مسکراتا چہرہ
🥰;دلوں کے ساتھ مسکراتا چہرہ;پسند کرنا|پیار میں|دل|دلوں کے ساتھ مسکراتا چہرہ|محبت
😍;دل کی شکل کی آنکھوں والا مسکراتا چہرہ;آنکھ|پیار|چہرہ|دل|دل کی شکل کی آنکھوں والا مسکراتا چہرہ
🤩;ستارہ زدہ;آنکھیں|تارہ|چہرہ|ستارہ زدہ|مسکراتا
😘;بوسہ اچھالتا چہرہ;بوسہ|بوسہ اچھالتا چہرہ|چہرہ|دل
😗;بوسہ لیتا چہرہ;بوسہ|بوسہ لیتا چہرہ|چہرہ
☺️;مسکراتا چہرہ;پر سکون|چہرہ|مسکراتا چہرہ|مسکراہٹ
😚;بند آنکھوں کے ساتھ بوسہ لیتا چہرہ;آنکھ|بند|بند آنکھوں کے ساتھ بوسہ لیتا چہرہ|بوسہ|چہرہ
😙;مسکراتی آنکھوں کے ساتھ بوسہ لیتا چہرہ;آنکھ|بوسہ|چہرہ|مسکراتی آنکھوں کے ساتھ بوسہ لیتا چہرہ|مسکراہٹ
🥲;آنسو کے ساتھ مسکراتا چہرہ;آنسو|آنسو کے ساتھ مسکراتا چہرہ|جذباتی|فاخر|مسکراتا ہوا|مطمئیں|ممنوں
😋;مزیدار کھانے کا ذائقہ دینے والا چہرہ;چہرہ|مزیدار|مزیدار کھانے کا ذائقہ دینے والا چہرہ|مسکراہٹ
😛;زبان نکالے چہرہ;چہرہ|زبان|زبان نکالے چہرہ
😜;زبان نکالے اور آنکھ مارتا چہرہ;آنکھ|چہرہ|زبان|زبان نکالے اور آنکھ مارتا چہرہ|مزاق
🤪;پاگل پن والا چہرہ;آنکھ|بڑی|پاگل پن والا چہرہ|چھوٹی
😝;زبان نکالے اور سختی سے بند آنکھوں والا چہرہ;آنکھ|چہرہ|خوفناک|زبان|زبان نکالے اور سختی سے بند آنکھوں والا چہرہ
🤑;ڈالر کی زبان والا چہرہ;چہرہ|ڈالر|ڈالر کی زبان والا چہرہ|منہ
🤗;گلے ملتا چہرہ;چہرہ|گلے ملتا چہرہ|گلے ملنا
🤭;منہ پر ہاتھ رکھا ہوا چہرہ;افوہ|منہ پر ہاتھ رکھا ہوا چہرہ
🫢;کھلی آنکھیں اور منہ پر ہاتھ رکھے ہوئے چہرہ;حیرت|خوف|ڈرا ہوا|شرمندہ|عدم یقین|کھلی آنکھیں اور منہ پر ہاتھ رکھے ہوئے چہرہ
🫣;جھانکتی آنکھ والا چہرہ;جھانکتی آنکھ والا چہرہ|جھانکنا|گھورنا|مسحور
🤫;خاموش رہنے کا اشارہ کرنے والہ چہرہ;چپ|خاموش|خاموش رہنے کا اشارہ کرنے والہ چہرہ
🤔;سوچتا چہرہ;چہرہ|سوچتا چہرہ|سوچنا
🫡;سلام کرتا ہوا چہرہ;افواج|ٹھیک ہے|جی ہاں|دھوپ|سلام|سلام کرتا ہوا چہرہ
🤐;منہ سیے ہوئے چہرہ;چہرہ|سلا ہوا|منہ|منہ سیے ہوئے چہرہ
🤨;اٹھی ہوئی بھویں والا چہرہ;اٹھی ہوئی بھویں والا چہرہ|بد اعتمادی|شکی
😐;غیر جانبدار چہرہ;چہرہ|غیر جانبدار|غیر جانبدار چہرہ
😑;اظہار سے عاری چہرہ;اظہار سے عاری چہرہ|بغیر تاثر|چہرہ
😶;بغیر منہ والا چہرہ;بغیر منہ والا چہرہ|چہرہ|خاموشی|منہ
