# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
😃;рӯи хандон бо даҳони кушода;даҳон|кушода|рӯи хандон бо даҳони кушода|рӯй|табассум
😄;рӯи хандон бо даҳони кушода ва чашмони хандон;даҳон|кушода|рӯи хандон бо даҳони кушода ва чашмони хандон|рӯй|табассум|чашм
😁;чеҳраи писхандкунанда бо чашмони табассумкунанда;рӯй|табассум кардан|фарох табассум кардан|чашм|чеҳраи писхандкунанда бо чашмони табассумкунанда
😆;рӯи хандон бо даҳони кушода ва чашмони пӯшида;даҳон|кушода|қонеъ|рӯи хандон бо даҳони кушода ва чашмони пӯшида|рӯй|табассум|ханда
😅;рӯи хандон бо даҳони кушода ва арақи хунук;арақ|кушода|рӯи хандон бо даҳони кушода ва арақи хунук|рӯй|табассум|хунук
🤣;аз ханда рӯдакан шудан;аз ханда рӯдакан шудан|даврзананда|рӯй|фарш|хандидан
😂;рӯи бо ашкҳои хурсандӣ;ашк|рӯи бо ашкҳои хурсандӣ|рӯй|хандидан|хурсандӣ
🙂;тӯи каме хандон;рӯй|табассум|тӯи каме хандон
🙃;рӯи сарчаппа;рӯи сарчаппа|Рӯй|сарчаппа
🫠;;
😉;рӯи чашмакзананда;рӯи чашмакзананда|рӯй|чашмакзанӣ
😊;рӯи хандон бо чашмони хандон;рӯи хандон бо чашмони хандон|рӯй|табассум|хиҷолат|чашм
😇;рӯи хандон бо ҳола;афсона|бегуноҳ|малоика|рӯи хандон бо ҳола|рӯй|табассум|тахайюлот|ҳола
🥰;;
😍;рӯи хандон бо чашмони дилмонанд;муҳаббат|рӯи хандон бо чашмони дилмонанд|рӯй|табассум|чашм
🤩;дарди ситорашавӣ;дарди ситорашавӣ|писханда|рӯй|ситора|чашмҳо
😘;рӯи бӯсаи ҳавоӣ равонкунанда;бӯса|рӯи бӯсаи ҳавоӣ равонкунанда|рӯй
😗;рӯи бӯсакунанда;бӯса|рӯи бӯсакунанда|рӯй
☺️;рӯи табассумкунанда;ором|рӯи табассумкунанда|рӯй|табассум|хаткашида
😚;рӯи бӯсакунанда бо чашмони пӯшида;бӯса|пӯшида|рӯи бӯсакунанда бо чашмони пӯшида|рӯй|чашм
😙;рӯи бӯсакунанда бо чашмони хандон;бӯса|рӯи бӯсакунанда бо чашмони хандон|рӯй|табассум|чашм
🥲;;
😋;рӯе, ки ғизои бомазаро маза карда хӯрда истодааст;бомаза|ки ғизои бомазаро маза карда хӯрда истодааст|маза карда хӯрдан|ммм|ням|рӯе|рӯе, ки ғизои бомазаро маза карда хӯрда истодааст|рӯй|табассум
😛;рӯй бо забони баровардашуда;забон|рӯй|рӯй бо забони баровардашуда
😜;рӯй бо забони баровардашуда ва чашми чашмакизананда;забон|рӯй|рӯй бо забони баровардашуда ва чашми чашмакизананда|чашм|чашмакизанӣ|шӯхӣ
🤪;рӯи девона;калон|рӯи девона|хурд|чашм
😝;рӯй бо забони баровардашуда ва чашмони пӯшида;даҳшатнок|забон|маза|рӯй|рӯй бо забони баровардашуда ва чашмони пӯшида|чашм
🤑;рӯи дорои даҳони пулӣ;даҳон|пул|рӯи дорои даҳони пулӣ|рӯй
🤗;рӯи оғӯшкунанда;оғӯш кардан|оғӯшкунанда|рӯи оғӯшкунанда|рӯй
🤭;рӯй бо даст дар болои даҳон;рӯй бо даст дар болои даҳон|ҳоп
🫢;;
🫣;;
🤫;рӯи хомӯшкунанда;ором кардан|рӯи хомӯшкунанда|хомӯш
🤔;рӯи аднешакунанда;андешакунӣ|рӯи аднешакунанда|рӯй
🫡;;
🤐;рӯи дорои даҳони заҷиракдор;даҳон|занҷирак|рӯи дорои даҳони заҷиракдор|рӯй
🤨;рӯе, ки қошҳояш бардошта шудааст;ки қошҳояш бардошта шудааст|нобоварӣ|рӯе|рӯе, ки қошҳояш бардошта шудааст|шаккок
😐;рӯи нейтралӣ;нейтралӣ|рӯи карахт|рӯи нейтралӣ|рӯй
😑;рӯи беифода;беифода|нобурро|ногуфтанӣ|рӯи беифода|рӯй
😶;рӯи бедаҳон;бесадо|даҳон|рӯи бедаҳон|рӯй|хомӯш
🫥;;
😶‍🌫️;;
😏;рӯи писхандакунанда;писханда|рӯи писхандакунанда|рӯй
😒;рӯи норозӣ;зиқ|норозӣ|рӯи норозӣ|рӯй
🙄;рӯй бо чашмони даврзананда;даврзанӣ|рӯй|рӯй бо чашмони даврзананда|чашмҳо
😬;рӯи туршкунанда;рӯи туршкунанда|рӯй|рӯй туршкунӣ
😮‍💨;;
🤥;рӯи дурӯғгӯ;пиноккио|рӯи дурӯғгӯ|рӯй|хобидан
🫨;;
🙂‍↔️;;
🙂‍↕️;;
😌;рӯи бароҳат;бароҳат|рӯи бароҳат|рӯй
😔;рӯи андуҳгин;андуҳгин|ғамзада|рӯи андуҳгин|рӯй
😪;рӯи хоболуд;рӯи хоболуд|рӯй|хоб кардан
🤤;рӯи оби даҳон чакидаистода;оби даҳон чакидаистода|рӯи оби даҳон чакидаистода|рӯй
😴;рӯи хуфта;рӯи хуфта|рӯй|хоб кардан|ххх
😷;рӯй бо ниқоби тиббӣ;дору|духтур|касал|ниқоб|рӯй|рӯй бо ниқоби тиббӣ|хунук
🤒;рӯй бо ҳароратсанҷ;бемор|касал|рӯй|рӯй бо ҳароратсанҷ|ҳароратсанҷ
🤕;рӯй бо бандинаи сар;бандина|зарар расондан|осеб|рӯй|рӯй бо бандинаи сар
🤢;рӯи дилбеҳузурӣ;дилбеҳузуршуда|партофтан|рӯи дилбеҳузурӣ|рӯй
🤮;рӯи партофта истода;бемор|партофтан|рӯи партофта истода
🤧;Рӯи атсазананда;атса задан|Рӯи атсазананда|рӯй|саломат бошед
🥵;;
🥶;;
🥴;;
😵;рӯи сарчархзанӣ;рӯи сарчархзанӣ|рӯй|сарчархзанӣ
😵‍💫;;
🤯;сари тарканда;сари тарканда|шигифтазада
🤠;рӯи дорои кулоҳи ковбой;ковбой|кулоҳ|рӯи дорои кулоҳи ковбой|рӯй|чӯпондухтар
🥳;;
🥸;;
😎;рӯи хандон бо айнаки офтобӣ;айнак|айнаки муҳофизатӣ|айнаки офтобӣ|офтоб|равшан|рӯи хандон бо айнаки офтобӣ|рӯй|салқин|табассум|чашм
🤓;рӯи соддалавҳ;доно|рӯи соддалавҳ|рӯй|соддалавҳ
🧐;рӯй бо айнаки якчашма;нафасгир|рӯй бо айнаки якчашма
😕;рӯи ошуфта;ошуфта|рӯи ошуфта|рӯй
🫤;;
😟;рӯи мушавваш;мушавваш|рӯи мушавваш|рӯй
🙁;рӯи каме қавоқандохта;қавоқ андохтан|рӯи каме қавоқандохта|рӯй
☹️;рӯи қавоқандохта;қавоқ андохтан|рӯи қавоқандохта|рӯй
😮;рӯй бо даҳони кушода;даҳон|кушода|рӯй|рӯй бо даҳони кушода|ҳусни таваҷҷуҳ
😯;рӯи хомӯш;рӯи хомӯш|рӯй|хомӯшшуда|ҳайрон|шах шудамонда
😲;рӯи ҳайрон;баҳайратафтода|рӯи ҳайрон|рӯй|тамоман|ҳайрон
😳;рӯи сурхшуда;мабҳут|рӯи сурхшуда|рӯй|сурхшуда
🥺;;
🥹;;
😦;рӯи турш бо даҳони кушода;даҳон|кушода|қавоқ андохтан|рӯи турш бо даҳони кушода|рӯй
😧;рӯи дилтанг;дилтанг|рӯи дилтанг|рӯй
😨;рӯи тарсон;рӯи тарсон|рӯй|тарс|тарсон|ҳаросида
😰;рӯи бо даҳони кушода ва арақи хунук;даҳон|кабуд|кушода|рӯи бо даҳони кушода ва арақи хунук|рӯй|саросема|хунук
😥;ғамгин, вале рӯи бароҳат;бароҳат|вале рӯи бароҳат|ғамгин|ғамгин, вале рӯи бароҳат|рӯй|фуҳ
😢;рӯи гирён;ашк|гиря|зиқ|рӯи гирён|рӯй
😭;рӯи баланд гириста истода;ашк|гиря|зиқ|рӯи баланд гириста истода|рӯй|ҳиқ-ҳиқ карда гиря кардан
😱;рӯи аз тарс дод задаистода;дод задан|рӯи аз тарс дод задаистода|рӯй|тарс|тарсон|ҳаросида|чалп-чалп хӯрдан
😖;рӯи хиҷил;рӯи хиҷил|рӯй|хиҷил
😣;рӯи истодагарикунанда;истодагарӣ кардан|рӯи истодагарикунанда|рӯй
😞;рӯи ғамгин;ғамгин|рӯи ғамгин|рӯй
😓;рӯй бо арақи хунук;арақ|рӯй|рӯй бо арақи хунук|хунук
😩;рӯи афгор;афгор|рӯи афгор|рӯй|хаста
😫;рӯи хаста;рӯи хаста|рӯй|хаста
🥱;;
😤;рӯй бо дуд аз бинӣ;бурд|музаффарият|рӯй|рӯй бо дуд аз бинӣ
😡;рӯи бадқавоқ;бадқавоқ|девона|рӯи бадқавоқ|рӯй|сурх|хашм|хашмгин
😠;рӯи хашмгин;девона|рӯи хашмгин|рӯй|хашмгин
🤬;рӯй бо аломатҳо дар болои даҳон;қасам хӯрда истода|рӯй бо аломатҳо дар болои даҳон
😈;рӯи хандон бо шохҳо;афсона|рӯи хандон бо шохҳо|рӯй|табассум|тахайюлот|шохҳо
👿;рӯи хашмгин бо шохҳо;афсона|дев|рӯи хашмгин бо шохҳо|рӯй|тахайюлот|шайтон|шайтонча
💀;косахонаи сар;афсона|аъҷуба|косахонаи сар|марг|рӯй
☠️;косахонаи сар ва устухонҳо дар шакли салиб;аъҷуба|косахонаи сар|косахонаи сар ва устухонҳо дар шакли салиб|марг|рӯй|устухонҳо дар шакли салиб
💩;тӯдаи гуҳ;ахлот|аъҷуба|гуҳ|мазҳакавӣ|пору|рӯй|тӯдаи гуҳ
🤡;рӯи масхарабоз;масхарабоз|рӯи масхарабоз|рӯй
👹;одамхӯр;афсона|аъҷуба|махлуқ|одамхӯр|рӯй|тахайюлот
👺;аҷинаи хона;афсона|аҷинаи хона|аъҷуба|махлуқ|рӯй|тахайюлот
👻;руҳ;афсона|аъҷуба|махлуқ|рӯй|руҳ|тахайюлот
👽;бегона;афсона|аъҷуба|бегона|берун аз Замин|лаълии паррон|махлуқ|рӯй|тахайюлот
👾;аъҷубаи бегона;афсона|аъҷуба|аъҷубаи бегона|бегона|берун аз Замин|лаълии паррон|махлуқ|рӯй|тахайюлот
🤖;рӯи робот;аъҷуба|робот|рӯи робот|рӯй
😺;рӯи гурбаи хандон бо даҳони кушода;гурба|даҳон|кушода|рӯи гурбаи хандон бо даҳони кушода|рӯй|табассум
😸;рӯи писхандакунандаи гурба бо чашмони хандон;гурба|рӯи писхандакунандаи гурба бо чашмони хандон|рӯй|табассум кардан|фарох табассум кардан
😹;рӯи гурба бо ашки хурсандӣ;ашк|гурба|рӯи гурба бо ашки хурсандӣ|рӯй|хурсандӣ
😻;рӯи хандони гурба бо чашмони дилмонанд;гурба|муҳаббат|рӯи хандони гурба бо чашмони дилмонанд|рӯй|табассум|чашм
😼;рӯи гурба бо табассуми каҷ;гурба|истеҳзоомез|каҷ|рӯи гурба бо табассуми каҷ|рӯй|табассум
😽;рӯи бӯсакунандаи гурба бо чашмони пӯшида;бӯса|гурба|рӯи бӯсакунандаи гурба бо чашмони пӯшида|рӯй|чашм
🙀;рӯи афгори гурба;афгор|гурба|оҳ|рӯи афгори гурба|рӯй|ҳайрон
😿;рӯи гирёни гурба;ашк|гиря|гурба|зиқ|рӯи гирёни гурба|рӯй
😾;рӯи бадқавоқи гурба;бадқавоқ|гурба|рӯи бадқавоқи гурба|рӯй
🙈;маймуне, ки бадиро намебинад;бад|дидан|имову ишора|ки бадиро намебинад|маймун|маймуне|маймуне, ки бадиро намебинад|мамнуъ|манъшуда|не|рӯй
🙉;маймуне, ки бадиро намешунавад;бад|имову ишора|ки бадиро намешунавад|маймун|маймуне|маймуне, ки бадиро намешунавад|мамнуъ|манъшуда|не|рӯй|шунидан
🙊;маймуне, ки гапи бад намезанад;бад|гап задан|имову ишора|ки гапи бад намезанад|маймун|маймуне|маймуне, ки гапи бад намезанад|мамнуъ|манъшуда|не|рӯй
💌;мактуби ошиқӣ;дил|мактуб|мактуби ошиқӣ|муҳаббат|почта
💘;дил бо тир;амур|дил бо тир|тир
💝;дил бо лента;валентин|дил бо лента|лента
💖;дили ҷилодор;дили ҷилодор|ҳаяҷон|ҷило додан
💗;дили афзоянда;асабӣ|дили афзоянда|калон шуда истода|набз|ҳаяҷон
💓;дили тапишзананда;дили тапишзананда|тапидан|тапишзанӣ|тапиши дил
💞;дилҳои даврзананда;даврзананда|дилҳои даврзананда
💕;ду дил;ду дил|муҳаббат
💟;ороиши дил;дил|ороиши дил
❣️;хитоби дили вазнин;аломат|аломатҳои китобатӣ|хитоб|хитоби дили вазнин
💔;дили шикаста;дили шикаста|шикаста|шикастан
❤️‍🔥;;
❤️‍🩹;;
❤️;дили сурх;дил|дили сурх
🩷;;
🧡;дили норанҷӣ;дили норанҷӣ|норанҷӣ
💛;дили зард;дили зард|зард
💚;дили сабз;дили сабз|сабз
💙;дили кабуд;дили кабуд|кабуд
🩵;;
💜;дили арғувонӣ;арғувонӣ|дили арғувонӣ
🤎;;
🖤;дили сиёҳ;бад|дили сиёҳ|сиёҳ|шарир
🩶;;
🤍;;
💋;нишонаи бӯса;бӯса|лабҳо|нишонаи бӯса
💯;сад хол;100|пурра|сад|хол
💢;аломати ғазаб;аломати ғазаб|девона|мазҳакавӣ|хашмгин
💥;бархӯрд;бархӯрд|бум|мазҳакавӣ
💫;сархчархзанӣ;мазҳакавӣ|сархчархзанӣ|ситора
💦;қатраҳои арақ;арақ|қатраҳои арақ|мазҳакавӣ|пош хӯрдаистода
💨;тез гурехтан;гурехтан|давидаистода|мазҳакавӣ|тез гурехтан
🕳️;сурох;сурох
💬;ҳубоби нутқ;балон|мазҳакавӣ|муколама|нутқ|ҳубоб|ҳубоби нутқ
👁️‍🗨️;чашм дар ҳуббоби гуфтугӯ;ҳуббоби гуфтугӯ|чашм|чашм дар ҳуббоби гуфтугӯ|шоҳид
🗨️;ҳубоби чапи гуфтугӯ;муколама|нутқ|ҳубоби чапи гуфтугӯ
🗯️;ҳубоби рости ғазаб;балон|девона|хашмгин|ҳубоб|ҳубоби рости ғазаб
💭;ҳубоби андеша;балон|мазҳакавӣ|фикр|ҳубоб|ҳубоби андеша
💤;ххх;мазҳакавӣ|хоб кардан|ххх

[people_body]
