# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;रमाएको अनुहार;अनुहार|रमाएको अनुहार|हँसिलो
😃;खुला मुखसहितको हँसिलो अनुहार;अनुहार|खुला|खुला मुखसहितको हँसिलो अनुहार|मुख|मुस्कान
😄;खुला मुख र चम्किला आँखासहितको हँसिलो अनुहार;अनुहार|आँखा|खुला|खुला मुख र चम्किला आँखासहितको हँसिलो अनुहार|मुख|मुस्कान
😁;रमाएका आँखासहित मन्दमुस्कानयुक्त अनुहार;अनुहार|आँखा|मुस्कान|रमाएका आँखासहित मन्दमुस्कानयुक्त अनुहार|हँसिलो
😆;खुला मुख र आँखा चिम्म भएको हँसिलो अनुहार;अनुहार|खुला|खुला मुख र आँखा चिम्म भएको हँसिलो अनुहार|मुख|मुस्कान|सन्तुष्ट|हँसाइ
😅;खुला मुख र असिनपसिन भएको हँसिलो अनुहार;अनुहार|खुला|खुला मुख र असिनपसिन भएको हँसिलो अनुहार|चिसो|पसिना|हाँसो
🤣;अत्यन्तै हाँस उठ्दो;अत्यन्तै हाँस उठ्दो|अनुहार|भुईँ|लडिबुडी|हाँसो
😂;खुसीको आँसु देखिएको अनुहार;अनुहार|आँसु|खुशी|खुसीको आँसु देखिएको अनुहार|हाँसो
🙂;हल्का हँसिलो अनुहार;अनुहार|मुस्कान|हल्का हँसिलो अनुहार
🙃;माथि-तल भएको अनुहार;अनुहार|माथि-तल भएको|माथि-तल भएको अनुहार
🫠;पग्लिरहेको अनुहार;घुल्नु|तरल|पग्लिनु|पग्लिरहेको अनुहार|बिलाउनु
😉;आँखा झिम्काइएको अनुहार;अनुहार|आँखा झिम्काइएको अनुहार|आँखा झिम्काएको
😊;चम्किला आँखा र हँसिलो अनुहार;अनुहार|आँखा|चम्किला आँखा र हँसिलो अनुहार|मुस्कान|लजाएको
😇;ह्यालो सहितको हँसिलो अनुहार;अनुहार|निराधार कल्पना|निर्दोष|परी|ह्यालो|ह्यालो सहितको हँसिलो अनुहार|ह्यालोयुक्त हँसिलो अनुहार
🥰;तीनवटा मायाका प्रतीकसहितको हँसिलो मुहार;गाढा माया गर्नु|तीनवटा मायाका प्रतीकसहितको हँसिलो मुहार|प्रेममा|हल्का एकतर्फी प्रेम
😍;पानको पात-आकारको आँखासहितको हँसिलो अनुहार;अनुहार|आँखा|पानको पात-आकारको आँखासहितको हँसिलो अनुहार|माया|मुटु|मुस्कान
🤩;अचम्भित;अचम्भित|अनुहार|आँखा|तारा|दाँत देखाएर हाँसिरहेको अनुहार
😘;चुम्बन फ्याँकिरहेको अनुहार;अनुहार|चुम्बन|चुम्बन फ्याँकिरहेको अनुहार|मुटु
😗;चुम्बन गरिरहेको अनुहार;अनुहार|चुम्बन|चुम्बन गरिरहेको अनुहार
☺️;हँसिलो अनुहार;अनुहार|तनाबमुक्त|बाहिर रेखा गरेको|मुस्कान|हँसिलो अनुहार
😚;बन्द आँखासहित चुम्बन गरिरहेको अनुहार;अनुहार|आँखा|चुम्बन|बन्द आँखासहित चुम्बन गरिरहेको अनुहार|बन्द गरेको
😙;हँसिलो आँखासहित चुम्बन गरिरहेको अनुहार;अनुहार|आँखा|चुम्बन|मुस्कान|हँसिलो आँखासहित चुम्बन गरिरहेको अनुहार
🥲;आँसुका साथ रोइरहेको;आँसु|आँसुका साथ रोइरहेको|उत्कृष्ट भाव|गौरव|छोएको|निर्धक्क|मुस्कुराइरहेको
😋;स्वादिष्ट खानामा रमाएको अनुहार;अनुहार|मिठो|मिस्ठान्न|स्वादिष्ट|स्वादिष्ट खानामा रमाएको अनुहार|स्वादिस्ट|हाँसो
😛;जिब्रोबाहिर निस्केको अनुहार;अनुहार|जिब्रोबाहिर निस्केको|जिब्रोबाहिर निस्केको अनुहार
😜;जिब्रोबाहिर निस्केको र आँखा झिम्काएको अनुहार;अनुहार|आँखा|आँखा झिम्काउने|जिब्रो|जिब्रोबाहिर निस्केको र आँखा झिम्काएको अनुहार|रमाइलो
🤪;मूर्ख अनुहार;आँखा|ठूलो|मूर्ख अनुहार|सानो
😝;जिब्रोबाहिर निस्केको र आँखा चिम्म गरिएको अनुहार;अनुहार|आँखा|जिब्रो|जिब्रोबाहिर निस्केको र आँखा चिम्म गरिएको अनुहार|डरलाग्दो|स्वाद
🤑;पैसाको-मुख भएको अनुहार;अनुहार|पैसा|पैसाको-मुख भएको अनुहार|मुख
🤗;अंगालो मारेको अनुहार;अंगालो|अंगालो मारिरहेको|अंगालो मारेको अनुहार|अनुहार
🤭;छक्क परेको भाव भएको अनुहार;छक्क परेको भाव भएको अनुहार|हुप्स
🫢;खुला आँँखा र मुखमाथि हातसहितको अनुुहार;अविश्वसनीय|आश्चर्य|खुला आँँखा र मुखमाथि हातसहितको अनुुहार|डाराएको|लाज|वाह|सरप्राइज
🫣;चियाएर हेरेको आँँखासहितको अनुहार;कैद गरेको|चियाएर हेरेको आँँखासहितको अनुहार|चियाएर हेर्नु|हेरिराख्नु
🤫;चुप लाग्न आग्रह गरिरहेको अनुहार;चुप लाग्न आग्रह|चुप लाग्न आग्रह गरिरहेको अनुहार|मौंन
🤔;सोचमग्न अनुहार;अनुहार|सोचमग्न अनुहार|सोचिरहेको
🫡;सलाम ठोकिरहेको अनुुहार;घाम लागेको|ठिक छ|सलाम|सलाम ठोकिरहेको अनुुहार|सै‍निकहरू|हुन्छ
🤐;मुख टालिएको अनुहार;अनुहार|जिपर|मुख|मुख टालिएको अनुहार
🤨;छक्क परेको अनुहार;अविश्वास|छक्क परेको अनुहार|शङ्कालु
😐;तटस्थ अनुहार;अनुहार|तटस्थ|भावहीन
😑;अभिव्यक्तिविहीन अनुहार;अनुहार|अभिव्यक्तिविहीन|भाव नभएको|भावशून्य
😶;मुखबिनाको अनुहार;अनुहार|चुप|मुख|मुखबिनाको अनुहार|शान्त
🫥;थोप्ला थोप्ला भएको रेखावाला अनुहार;अदृश्य|अन्तवर्ती|थोप्ला थोप्ला भएको रेखावाला अनुहार|नदेखिनु|निराश|लुकाउनु
😶‍🌫️;बादलमा अनुहार;कुहिरोमा अनुहार|ध्यान नदिने|बादलमा अनुहार|बादलमा टाउको
😏;बनावटी अनुहार;अनुहार|बनावटी
😒;अप्रसन्न अनुहार;अनुहार|अप्रसन्न|वेखुशी
🙄;घुमिरहेको आँखासहितको अनुहार;अनुहार|आँखा|घुमिरहेको|घुमिरहेको आँखासहितको अनुहार
