# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grínandi andlit;andlit|grín|grínandi andlit
	🏃🏿‍♀️;kvinna sum rennur: myrkur húðarlitur;kvinna|kvinna sum rennur|kvinna sum rennur: myrkur húðarlitur|maraton|myrkur húðarlitur|renn|rennur
🏃‍➡️;;
	🏃🏻‍➡️;;
	🏃🏼‍➡️;;
	🏃🏽‍➡️;;
	🏃🏾‍➡️;;
	🏃🏿‍➡️;;
🏃‍♀️‍➡️;;
	🏃🏻‍♀️‍➡️;;
	🏃🏼‍♀️‍➡️;;
	🏃🏽‍♀️‍➡️;;
	🏃🏾‍♀️‍➡️;;
	🏃🏿‍♀️‍➡️;;
🏃‍♂️‍➡️;;
	🏃🏻‍♂️‍➡️;;
	🏃🏼‍♂️‍➡️;;
	🏃🏽‍♂️‍➡️;;
	🏃🏾‍♂️‍➡️;;
	🏃🏿‍♂️‍➡️;;
💃;kvinna sum dansar;dansar|dansur|kona|kvinna|kvinna sum dansar
	💃🏻;kvinna sum dansar: ljósur húðarlitur;dansar|dansur|kona|kvinna|kvinna sum dansar|kvinna sum dansar: ljósur húðarlitur|ljósur húðarlitur
	💃🏼;kvinna sum dansar: miðalljósur húðarlitur;dansar|dansur|kona|kvinna|kvinna sum dansar|kvinna sum dansar: miðalljósur húðarlitur|miðalljósur húðarlitur
	💃🏽;kvinna sum dansar: miðal húðarlitur;dansar|dansur|kona|kvinna|kvinna sum dansar|kvinna sum dansar: miðal húðarlitur|miðal húðarlitur
	💃🏾;kvinna sum dansar: miðalmyrkur húðarlitur;dansar|dansur|kona|kvinna|kvinna sum dansar|kvinna sum dansar: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	💃🏿;kvinna sum dansar: myrkur húðarlitur;dansar|dansur|kona|kvinna|kvinna sum dansar|kvinna sum dansar: myrkur húðarlitur|myrkur húðarlitur
🕺;maður sum dansar;dansar|dansur|maður|maður sum dansar
	🕺🏻;maður sum dansar: ljósur húðarlitur;dansar|dansur|ljósur húðarlitur|maður|maður sum dansar|maður sum dansar: ljósur húðarlitur
	🕺🏼;maður sum dansar: miðalljósur húðarlitur;dansar|dansur|maður|maður sum dansar|maður sum dansar: miðalljósur húðarlitur|miðalljósur húðarlitur
	🕺🏽;maður sum dansar: miðal húðarlitur;dansar|dansur|maður|maður sum dansar|maður sum dansar: miðal húðarlitur|miðal húðarlitur
	🕺🏾;maður sum dansar: miðalmyrkur húðarlitur;dansar|dansur|maður|maður sum dansar|maður sum dansar: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	🕺🏿;maður sum dansar: myrkur húðarlitur;dansar|dansur|maður|maður sum dansar|maður sum dansar: myrkur húðarlitur|myrkur húðarlitur
🕴️;maður í klædningi sveimar;klædningur|maður|maður í klædningi sveimar|sveimar
	🕴🏻;maður í klædningi sveimar: ljósur húðarlitur;klædningur|ljósur húðarlitur|maður|maður í klædningi sveimar|maður í klædningi sveimar: ljósur húðarlitur|sveimar
	🕴🏼;maður í klædningi sveimar: miðalljósur húðarlitur;klædningur|maður|maður í klædningi sveimar|maður í klædningi sveimar: miðalljósur húðarlitur|miðalljósur húðarlitur|sveimar
	🕴🏽;maður í klædningi sveimar: miðal húðarlitur;klædningur|maður|maður í klædningi sveimar|maður í klædningi sveimar: miðal húðarlitur|miðal húðarlitur|sveimar
	🕴🏾;maður í klædningi sveimar: miðalmyrkur húðarlitur;klædningur|maður|maður í klædningi sveimar|maður í klædningi sveimar: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|sveimar
	🕴🏿;maður í klædningi sveimar: myrkur húðarlitur;klædningur|maður|maður í klædningi sveimar|maður í klædningi sveimar: myrkur húðarlitur|myrkur húðarlitur|sveimar
👯;fólk við haruoyrum;dansa|dansur|fólk|fólk við haruoyrum|haruoyru|persónar
👯‍♂️;menn við haruoyrum;dansa|dansur|haruoyru|menn|menn við haruoyrum
👯‍♀️;kvinnur við haruoyrum;dansa|dansur|haruoyru|konur|kvinnur|kvinnur við haruoyrum
🧖;persónur í sauna;baðstova|fólk|persónur|persónur í sauna|sauna
	🧖🏻;persónur í sauna: ljósur húðarlitur;baðstova|fólk|ljósur húðarlitur|persónur|persónur í sauna|persónur í sauna: ljósur húðarlitur|sauna
	🧖🏼;persónur í sauna: miðalljósur húðarlitur;baðstova|fólk|miðalljósur húðarlitur|persónur|persónur í sauna|persónur í sauna: miðalljósur húðarlitur|sauna
	🧖🏽;persónur í sauna: miðal húðarlitur;baðstova|fólk|miðal húðarlitur|persónur|persónur í sauna|persónur í sauna: miðal húðarlitur|sauna
	🧖🏾;persónur í sauna: miðalmyrkur húðarlitur;baðstova|fólk|miðalmyrkur húðarlitur|persónur|persónur í sauna|persónur í sauna: miðalmyrkur húðarlitur|sauna
	🧖🏿;persónur í sauna: myrkur húðarlitur;baðstova|fólk|myrkur húðarlitur|persónur|persónur í sauna|persónur í sauna: myrkur húðarlitur|sauna
🧖‍♂️;maður í sauna;baðstova|maður|maður í sauna|sauna
	🧖🏻‍♂️;maður í sauna: ljósur húðarlitur;baðstova|ljósur húðarlitur|maður|maður í sauna|maður í sauna: ljósur húðarlitur|sauna
	🧖🏼‍♂️;maður í sauna: miðalljósur húðarlitur;baðstova|maður|maður í sauna|maður í sauna: miðalljósur húðarlitur|miðalljósur húðarlitur|sauna
	🧖🏽‍♂️;maður í sauna: miðal húðarlitur;baðstova|maður|maður í sauna|maður í sauna: miðal húðarlitur|miðal húðarlitur|sauna
	🧖🏾‍♂️;maður í sauna: miðalmyrkur húðarlitur;baðstova|maður|maður í sauna|maður í sauna: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|sauna
	🧖🏿‍♂️;maður í sauna: myrkur húðarlitur;baðstova|maður|maður í sauna|maður í sauna: myrkur húðarlitur|myrkur húðarlitur|sauna
🧖‍♀️;kvinna í sauna;baðstova|kona|kvinna|kvinna í sauna|sauna
	🧖🏻‍♀️;kvinna í sauna: ljósur húðarlitur;baðstova|kona|kvinna|kvinna í sauna|kvinna í sauna: ljósur húðarlitur|ljósur húðarlitur|sauna
	🧖🏼‍♀️;kvinna í sauna: miðalljósur húðarlitur;baðstova|kona|kvinna|kvinna í sauna|kvinna í sauna: miðalljósur húðarlitur|miðalljósur húðarlitur|sauna
	🧖🏽‍♀️;kvinna í sauna: miðal húðarlitur;baðstova|kona|kvinna|kvinna í sauna|kvinna í sauna: miðal húðarlitur|miðal húðarlitur|sauna
	🧖🏾‍♀️;kvinna í sauna: miðalmyrkur húðarlitur;baðstova|kona|kvinna|kvinna í sauna|kvinna í sauna: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|sauna
	🧖🏿‍♀️;kvinna í sauna: myrkur húðarlitur;baðstova|kona|kvinna|kvinna í sauna|kvinna í sauna: myrkur húðarlitur|myrkur húðarlitur|sauna
🧗;persónur sum klatrar;fólk|klatra|klintra|klíva|klúgva|persónur|persónur sum klatrar
	🧗🏻;persónur sum klatrar: ljósur húðarlitur;fólk|klatra|klintra|klíva|klúgva|ljósur húðarlitur|persónur|persónur sum klatrar|persónur sum klatrar: ljósur húðarlitur
	🧗🏼;persónur sum klatrar: miðalljósur húðarlitur;fólk|klatra|klintra|klíva|klúgva|miðalljósur húðarlitur|persónur|persónur sum klatrar|persónur sum klatrar: miðalljósur húðarlitur
	🧗🏽;persónur sum klatrar: miðal húðarlitur;fólk|klatra|klintra|klíva|klúgva|miðal húðarlitur|persónur|persónur sum klatrar|persónur sum klatrar: miðal húðarlitur
	🧗🏾;persónur sum klatrar: miðalmyrkur húðarlitur;fólk|klatra|klintra|klíva|klúgva|miðalmyrkur húðarlitur|persónur|persónur sum klatrar|persónur sum klatrar: miðalmyrkur húðarlitur
	🧗🏿;persónur sum klatrar: myrkur húðarlitur;fólk|klatra|klintra|klíva|klúgva|myrkur húðarlitur|persónur|persónur sum klatrar|persónur sum klatrar: myrkur húðarlitur
🧗‍♂️;maður sum klatrar;klatra|klintra|klíva|klúgva|maður|maður sum klatrar
	🧗🏻‍♂️;maður sum klatrar: ljósur húðarlitur;klatra|klintra|klíva|klúgva|ljósur húðarlitur|maður|maður sum klatrar|maður sum klatrar: ljósur húðarlitur
	🧗🏼‍♂️;maður sum klatrar: miðalljósur húðarlitur;klatra|klintra|klíva|klúgva|maður|maður sum klatrar|maður sum klatrar: miðalljósur húðarlitur|miðalljósur húðarlitur
	🧗🏽‍♂️;maður sum klatrar: miðal húðarlitur;klatra|klintra|klíva|klúgva|maður|maður sum klatrar|maður sum klatrar: miðal húðarlitur|miðal húðarlitur
	🧗🏾‍♂️;maður sum klatrar: miðalmyrkur húðarlitur;klatra|klintra|klíva|klúgva|maður|maður sum klatrar|maður sum klatrar: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	🧗🏿‍♂️;maður sum klatrar: myrkur húðarlitur;klatra|klintra|klíva|klúgva|maður|maður sum klatrar|maður sum klatrar: myrkur húðarlitur|myrkur húðarlitur
🧗‍♀️;kvinna sum klatrar;klatra|klintra|klíva|klúgva|kona|kvinna|kvinna sum klatrar
	🧗🏻‍♀️;kvinna sum klatrar: ljósur húðarlitur;klatra|klintra|klíva|klúgva|kona|kvinna|kvinna sum klatrar|kvinna sum klatrar: ljósur húðarlitur|ljósur húðarlitur
	🧗🏼‍♀️;kvinna sum klatrar: miðalljósur húðarlitur;klatra|klintra|klíva|klúgva|kona|kvinna|kvinna sum klatrar|kvinna sum klatrar: miðalljósur húðarlitur|miðalljósur húðarlitur
	🧗🏽‍♀️;kvinna sum klatrar: miðal húðarlitur;klatra|klintra|klíva|klúgva|kona|kvinna|kvinna sum klatrar|kvinna sum klatrar: miðal húðarlitur|miðal húðarlitur
	🧗🏾‍♀️;kvinna sum klatrar: miðalmyrkur húðarlitur;klatra|klintra|klíva|klúgva|kona|kvinna|kvinna sum klatrar|kvinna sum klatrar: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	🧗🏿‍♀️;kvinna sum klatrar: myrkur húðarlitur;klatra|klintra|klíva|klúgva|kona|kvinna|kvinna sum klatrar|kvinna sum klatrar: myrkur húðarlitur|myrkur húðarlitur
🤺;fektari;fektari|fiktar|fólk|persónur
🏇;kappríðing;fólk|hestur|jockey|kappríðari|kappríðing|persónur|ross
	🏇🏻;kappríðing: ljósur húðarlitur;fólk|hestur|jockey|kappríðari|kappríðing|kappríðing: ljósur húðarlitur|ljósur húðarlitur|persónur|ross
	🏇🏼;kappríðing: miðalljósur húðarlitur;fólk|hestur|jockey|kappríðari|kappríðing|kappríðing: miðalljósur húðarlitur|miðalljósur húðarlitur|persónur|ross
	🏇🏽;kappríðing: miðal húðarlitur;fólk|hestur|jockey|kappríðari|kappríðing|kappríðing: miðal húðarlitur|miðal húðarlitur|persónur|ross
	🏇🏾;kappríðing: miðalmyrkur húðarlitur;fólk|hestur|jockey|kappríðari|kappríðing|kappríðing: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|persónur|ross
	🏇🏿;kappríðing: myrkur húðarlitur;fólk|hestur|jockey|kappríðari|kappríðing|kappríðing: myrkur húðarlitur|myrkur húðarlitur|persónur|ross
⛷️;skíðrennari;fólk|kavi|persónur|skíð|skíðrennari
🏂;persónur sum stendur á snjófjøl;fólk|persónur|persónur sum stendur á snjófjøl|snjófjøl|snowboard|snowboarder
	🏂🏻;persónur sum stendur á snjófjøl: ljósur húðarlitur;fólk|ljósur húðarlitur|persónur|persónur sum stendur á snjófjøl|persónur sum stendur á snjófjøl: ljósur húðarlitur|snjófjøl|snowboard|snowboarder
	🏂🏼;persónur sum stendur á snjófjøl: miðalljósur húðarlitur;fólk|miðalljósur húðarlitur|persónur|persónur sum stendur á snjófjøl|persónur sum stendur á snjófjøl: miðalljósur húðarlitur|snjófjøl|snowboard|snowboarder
	🏂🏽;persónur sum stendur á snjófjøl: miðal húðarlitur;fólk|miðal húðarlitur|persónur|persónur sum stendur á snjófjøl|persónur sum stendur á snjófjøl: miðal húðarlitur|snjófjøl|snowboard|snowboarder
	🏂🏾;persónur sum stendur á snjófjøl: miðalmyrkur húðarlitur;fólk|miðalmyrkur húðarlitur|persónur|persónur sum stendur á snjófjøl|persónur sum stendur á snjófjøl: miðalmyrkur húðarlitur|snjófjøl|snowboard|snowboarder
	🏂🏿;persónur sum stendur á snjófjøl: myrkur húðarlitur;fólk|myrkur húðarlitur|persónur|persónur sum stendur á snjófjøl|persónur sum stendur á snjófjøl: myrkur húðarlitur|snjófjøl|snowboard|snowboarder
🏌️;persónur sum spælir golf;fólk|golf|persónur|persónur sum spælir golf
	🏌🏻;persónur sum spælir golf: ljósur húðarlitur;fólk|golf|ljósur húðarlitur|persónur|persónur sum spælir golf|persónur sum spælir golf: ljósur húðarlitur
	🏌🏼;persónur sum spælir golf: miðalljósur húðarlitur;fólk|golf|miðalljósur húðarlitur|persónur|persónur sum spælir golf|persónur sum spælir golf: miðalljósur húðarlitur
	🏌🏽;persónur sum spælir golf: miðal húðarlitur;fólk|golf|miðal húðarlitur|persónur|persónur sum spælir golf|persónur sum spælir golf: miðal húðarlitur
	🏌🏾;persónur sum spælir golf: miðalmyrkur húðarlitur;fólk|golf|miðalmyrkur húðarlitur|persónur|persónur sum spælir golf|persónur sum spælir golf: miðalmyrkur húðarlitur
	🏌🏿;persónur sum spælir golf: myrkur húðarlitur;fólk|golf|myrkur húðarlitur|persónur|persónur sum spælir golf|persónur sum spælir golf: myrkur húðarlitur
🏌️‍♂️;maður sum spælir golf;golf|maður|maður sum spælir golf
	🏌🏻‍♂️;maður sum spælir golf: ljósur húðarlitur;golf|ljósur húðarlitur|maður|maður sum spælir golf|maður sum spælir golf: ljósur húðarlitur
	🏌🏼‍♂️;maður sum spælir golf: miðalljósur húðarlitur;golf|maður|maður sum spælir golf|maður sum spælir golf: miðalljósur húðarlitur|miðalljósur húðarlitur
	🏌🏽‍♂️;maður sum spælir golf: miðal húðarlitur;golf|maður|maður sum spælir golf|maður sum spælir golf: miðal húðarlitur|miðal húðarlitur
	🏌🏾‍♂️;maður sum spælir golf: miðalmyrkur húðarlitur;golf|maður|maður sum spælir golf|maður sum spælir golf: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	🏌🏿‍♂️;maður sum spælir golf: myrkur húðarlitur;golf|maður|maður sum spælir golf|maður sum spælir golf: myrkur húðarlitur|myrkur húðarlitur
🏌️‍♀️;kona sum spælir golf;golf|kona|kona sum spælir golf|kvinna
	🏌🏻‍♀️;kona sum spælir golf: ljósur húðarlitur;golf|kona|kona sum spælir golf|kona sum spælir golf: ljósur húðarlitur|kvinna|ljósur húðarlitur
	🏌🏼‍♀️;kona sum spælir golf: miðalljósur húðarlitur;golf|kona|kona sum spælir golf|kona sum spælir golf: miðalljósur húðarlitur|kvinna|miðalljósur húðarlitur
	🏌🏽‍♀️;kona sum spælir golf: miðal húðarlitur;golf|kona|kona sum spælir golf|kona sum spælir golf: miðal húðarlitur|kvinna|miðal húðarlitur
	🏌🏾‍♀️;kona sum spælir golf: miðalmyrkur húðarlitur;golf|kona|kona sum spælir golf|kona sum spælir golf: miðalmyrkur húðarlitur|kvinna|miðalmyrkur húðarlitur
	🏌🏿‍♀️;kona sum spælir golf: myrkur húðarlitur;golf|kona|kona sum spælir golf|kona sum spælir golf: myrkur húðarlitur|kvinna|myrkur húðarlitur
🏄;persónur sum skreiður á brimfjøl;brimfjøl|fólk|persónur|persónur sum skreiður á brimfjøl|surfa
	🏄🏻;persónur sum skreiður á brimfjøl: ljósur húðarlitur;brimfjøl|fólk|ljósur húðarlitur|persónur|persónur sum skreiður á brimfjøl|persónur sum skreiður á brimfjøl: ljósur húðarlitur|surfa
	🏄🏼;persónur sum skreiður á brimfjøl: miðalljósur húðarlitur;brimfjøl|fólk|miðalljósur húðarlitur|persónur|persónur sum skreiður á brimfjøl|persónur sum skreiður á brimfjøl: miðalljósur húðarlitur|surfa
	🏄🏽;persónur sum skreiður á brimfjøl: miðal húðarlitur;brimfjøl|fólk|miðal húðarlitur|persónur|persónur sum skreiður á brimfjøl|persónur sum skreiður á brimfjøl: miðal húðarlitur|surfa
	🏄🏾;persónur sum skreiður á brimfjøl: miðalmyrkur húðarlitur;brimfjøl|fólk|miðalmyrkur húðarlitur|persónur|persónur sum skreiður á brimfjøl|persónur sum skreiður á brimfjøl: miðalmyrkur húðarlitur|surfa
	🏄🏿;persónur sum skreiður á brimfjøl: myrkur húðarlitur;brimfjøl|fólk|myrkur húðarlitur|persónur|persónur sum skreiður á brimfjøl|persónur sum skreiður á brimfjøl: myrkur húðarlitur|surfa
🏄‍♂️;maður sum skreiður á brimfjøl;brimfjøl|maður|maður sum skreiður á brimfjøl|surfa
	🏄🏻‍♂️;maður sum skreiður á brimfjøl: ljósur húðarlitur;brimfjøl|ljósur húðarlitur|maður|maður sum skreiður á brimfjøl|maður sum skreiður á brimfjøl: ljósur húðarlitur|surfa
	🏄🏼‍♂️;maður sum skreiður á brimfjøl: miðalljósur húðarlitur;brimfjøl|maður|maður sum skreiður á brimfjøl|maður sum skreiður á brimfjøl: miðalljósur húðarlitur|miðalljósur húðarlitur|surfa
	🏄🏽‍♂️;maður sum skreiður á brimfjøl: miðal húðarlitur;brimfjøl|maður|maður sum skreiður á brimfjøl|maður sum skreiður á brimfjøl: miðal húðarlitur|miðal húðarlitur|surfa
	🏄🏾‍♂️;maður sum skreiður á brimfjøl: miðalmyrkur húðarlitur;brimfjøl|maður|maður sum skreiður á brimfjøl|maður sum skreiður á brimfjøl: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|surfa
	🏄🏿‍♂️;maður sum skreiður á brimfjøl: myrkur húðarlitur;brimfjøl|maður|maður sum skreiður á brimfjøl|maður sum skreiður á brimfjøl: myrkur húðarlitur|myrkur húðarlitur|surfa
🏄‍♀️;kona sum skreiður á brimfjøl;brimfjøl|kona|kona sum skreiður á brimfjøl|kvinna|surfa
	🏄🏻‍♀️;kona sum skreiður á brimfjøl: ljósur húðarlitur;brimfjøl|kona|kona sum skreiður á brimfjøl|kona sum skreiður á brimfjøl: ljósur húðarlitur|kvinna|ljósur húðarlitur|surfa
	🏄🏼‍♀️;kona sum skreiður á brimfjøl: miðalljósur húðarlitur;brimfjøl|kona|kona sum skreiður á brimfjøl|kona sum skreiður á brimfjøl: miðalljósur húðarlitur|kvinna|miðalljósur húðarlitur|surfa
	🏄🏽‍♀️;kona sum skreiður á brimfjøl: miðal húðarlitur;brimfjøl|kona|kona sum skreiður á brimfjøl|kona sum skreiður á brimfjøl: miðal húðarlitur|kvinna|miðal húðarlitur|surfa
	🏄🏾‍♀️;kona sum skreiður á brimfjøl: miðalmyrkur húðarlitur;brimfjøl|kona|kona sum skreiður á brimfjøl|kona sum skreiður á brimfjøl: miðalmyrkur húðarlitur|kvinna|miðalmyrkur húðarlitur|surfa
	🏄🏿‍♀️;kona sum skreiður á brimfjøl: myrkur húðarlitur;brimfjøl|kona|kona sum skreiður á brimfjøl|kona sum skreiður á brimfjøl: myrkur húðarlitur|kvinna|myrkur húðarlitur|surfa
🚣;persónur í árabáti;árabátur|fólk|persónur|persónur í árabáti|rógva|rør
	🚣🏻;persónur í árabáti: ljósur húðarlitur;árabátur|fólk|ljósur húðarlitur|persónur|persónur í árabáti|persónur í árabáti: ljósur húðarlitur|rógva|rør
	🚣🏼;persónur í árabáti: miðalljósur húðarlitur;árabátur|fólk|miðalljósur húðarlitur|persónur|persónur í árabáti|persónur í árabáti: miðalljósur húðarlitur|rógva|rør
	🚣🏽;persónur í árabáti: miðal húðarlitur;árabátur|fólk|miðal húðarlitur|persónur|persónur í árabáti|persónur í árabáti: miðal húðarlitur|rógva|rør
	🚣🏾;persónur í árabáti: miðalmyrkur húðarlitur;árabátur|fólk|miðalmyrkur húðarlitur|persónur|persónur í árabáti|persónur í árabáti: miðalmyrkur húðarlitur|rógva|rør
	🚣🏿;persónur í árabáti: myrkur húðarlitur;árabátur|fólk|myrkur húðarlitur|persónur|persónur í árabáti|persónur í árabáti: myrkur húðarlitur|rógva|rør
🚣‍♂️;maður í árabáti;árabátur|maður|maður í árabáti|rógva|rør
	🚣🏻‍♂️;maður í árabáti: ljósur húðarlitur;árabátur|ljósur húðarlitur|maður|maður í árabáti|maður í árabáti: ljósur húðarlitur|rógva|rør
	🚣🏼‍♂️;maður í árabáti: miðalljósur húðarlitur;árabátur|maður|maður í árabáti|maður í árabáti: miðalljósur húðarlitur|miðalljósur húðarlitur|rógva|rør
	🚣🏽‍♂️;maður í árabáti: miðal húðarlitur;árabátur|maður|maður í árabáti|maður í árabáti: miðal húðarlitur|miðal húðarlitur|rógva|rør
	🚣🏾‍♂️;maður í árabáti: miðalmyrkur húðarlitur;árabátur|maður|maður í árabáti|maður í árabáti: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|rógva|rør
